Image;Class;Mean;Variance;Standard Deviation;Entropy;Skewness;Kurtosis;Contrast;Energy;ASM;Homogeneity;Dissimilarity;Correlation;Coarseness
Image956;1;1.298.583.984.375;161.055.409.721.268;401.317.093.731.712;0.002042918285694;369.171.711.257.843;143.903.346.782.946;724.762.128.325.509;0.037741307452047;0.00142440628819;0.340377326620796;491.690.140.845.071;0.98393851904592;7,46E-141
Image957;1;409.963.989.257.813;469.785.833.255.182;216.745.434.382.176;0.040771863796366;591.115.220.633.612;372.731.160.051.773;224.681.113.460.183;0.174850867751983;0.030572825953622;0.383358203094685;621.740.662.438.337;0.959429617298388;7,46E-141
Image958;0;577.220.153.808.594;485.178.037.496.807;22.026.757.307.802;0.101322087681867;411.639.824.065.291;171.705.559.022.183;138.972.916.302.638;0.281492356662359;0.079237946859329;0.568266086330173;399.615.586.230.998;0.963737742975649;7,46E-141
Image959;0;20.939.208.984.375;112.370.598.212.872;33.521.724.032.763;0.061107340164986;210.981.988.154.204;48.223.222.588.901;162.669.788.797.062;0.215791090279451;0.046565794643994;0.495337553276092;516.170.798.898.072;0.949427676765126;7,46E-141
Image960;0;209.464.569.091.797;122.425.226.879.641;349.893.164.951.304;0.065359862914423;210.547.613.404.784;473.015.921.501.591;15.890.823.941.125;0.223481510392978;0.049943985487527;0.494894226921596;508.249.704.081.108;0.952005323398813;7,46E-141
Image961;0;170.941.467.285.156;111.756.201.519.846;33.429.956.853.075;0.078212960183849;237.397.353.465.283;589.352.833.355.695;161.029.699.317.469;0.245725141208578;0.060380845021976;0.502907877615207;504.753.120.580.459;0.955729065162576;7,46E-141
Image962;0;119.981.536.865.234;868.898.236.145.424;294.770.798.442.693;0.093409024006006;288.401.219.011.964;862.851.210.382.325;223.718.940.266.579;0.270146192106873;0.072978965109844;0.489680292344505;651.999.341.780.484;0.941336289957592;7,46E-141
Image963;0;460.585.021.972.656;357.568.673.363.378;189.094.863.326.156;0.114696191630114;469.223.880.794.517;229.495.230.322.423;23.177.472.899.729;0.301402530857178;0.090843485607112;0.495826190425538;680.724.932.249.323;0.935784838110548;7,46E-141
Image964;0;407.284.545.898.438;273.511.543.028.501;165.381.843.933.517;0.108130320083325;475.997.576.140.595;239.327.558.441.886;703.116.427.432.217;0.291947984414706;0.08523362560381;0.535115652341467;376.236.044.657.097;0.974461332787851;7,46E-141
Image965;0;674.072.265.625;416.849.262.581.993;204.168.867.015.026;0.218550579503725;353.623.002.158.166;131.456.152.558.017;762.712.225.499.836;0.426216948828272;0.181660887468482;0.643876468001052;307.128.810.226.155;0.972171240319943;7,46E-141
Image966;0;100.279.388.427.734;573.482.578.105.825;239.474.962.805.264;0.14312884478088;291.701.310.572.037;896.534.212.050.889;685.889.230.769.231;0.33907177714928;0.114969670059171;0.595232677256466;328.590.769.230.769;0.975274271762195;7,46E-141
Image967;0;129.851.226.806.641;680.905.041.379.835;260.941.572.268.551;0.115689201285204;248.513.083.543.075;66.214.447.554.882;759.155.241.043.786;0.30260406383058;0.091569219446782;0.551237772489876;375.132.684.652.808;0.970925476406998;7,46E-141
Image968;1;350.445.556.640.625;282.748.038.562.201;168.151.133.972.448;0.009292246345672;627.608.658.669.001;438.903.628.360.373;202.070.205.850.488;0.081389995517491;0.006624331370337;0.369917374827454;639.913.326.110.509;0.946284204099903;7,46E-141
Image969;0;67.894.287.109.375;462.999.853.916.024;215.174.313.968.007;0.315779222804942;356.479.146.825.956;132.046.575.808.868;525.666.877.370.417;0.521253998244469;0.271705730685845;0.701866767802416;225.505.689.001.264;0.983494284648483;7,46E-141
Image970;0;126.379.241.943.359;841.680.548.529.384;290.117.312.225.483;0.197558556429292;278.147.003.338.342;840.307.032.325.306;120.555.745.554.036;0.403588075801573;0.162883334929216;0.59610397632273;391.997.264.021.888;0.969051798175632;7,46E-141
Image971;1;15.572.265.625;153.220.102.058.607;3.914.333.941.536;0.001476279878919;330.244.105.703.991;117.069.607.240.228;174.416.118.254.531;0.032083585164617;0.001029356437015;0.27939332904593;759.360.129.594.006;0.965906033017688;7,46E-141
Image972;1;157.585.906.982.422;179.322.616.180.882;423.465.011.755.259;0.002112392660075;331.910.473.631.179;117.173.736.653.671;160.521.819.526.627;0.038464896745612;0.001479548281651;0.266159572073635;735.145.463.510.848;0.963165970150196;7,46E-141
Image973;1;751.510.620.117.188;104.687.372.225.926;323.554.280.184.835;0.001077329888221;479.610.735.160.553;239.502.064.919.403;88.747.769.185.009;0.027337978090716;0.000747365046088;0.254954032361385;597.560.975.609.756;0.970376422487927;7,46E-141
Image974;0;492.181.396.484.375;356.869.856.419.395;188.909.993.494.096;0.111069028447426;426.725.396.365.412;18.685.693.785.653;630.345.052.083.333;0.29588655252792;0.087548851966858;0.538397464968814;368.424.479.166.667;0.979570568581665;7,46E-141
Image975;0;656.756.591.796.875;458.898.045.976.679;214.219.057.503.453;0.22907455161211;365.227.066.921.945;137.265.073.716.635;692.897.398.134.511;0.437168174803774;0.191116013061263;0.639371844821665;306.293.568.973.981;0.979359494521231;7,46E-141
Image976;1;211.970.520.019.531;31.127.301.322.541;176.429.309.703.748;0.002050598400809;882.655.303.469.915;806.657.774.250.965;133.926.406.926.407;0.037731625075239;0.001423675530818;0.220418193015595;797.835.497.835.498;0.936984934376176;7,46E-141
Image977;0;135.994.415.283.203;858.532.890.368.979;293.007.319.084.179;0.08445119437017;269.414.889.209.974;769.328.223.540.667;111.278.531.628.974;0.25617904863206;0.065627704958028;0.479613386848422;486.974.762.372.993;0.966830824739505;7,46E-141
Image978;0;851.959.228.515.625;591.138.372.490.394;243.133.373.375.683;0.086834845956658;338.149.277.757.591;119.731.259.087.858;159.887.235.550.157;0.259993906600646;0.067596831469466;0.461799672243926;582.062.961.838.243;0.950557022077133;7,46E-141
Image979;0;228.059.387.207.031;160.774.073.137.786;126.796.716.494.468;0.258726896961502;62.789.645.506.043;415.748.909.521.609;189.977.631.578.947;0.467424835085058;0.218485976454293;0.588496368516367;575.131.578.947.368;0.931194677014876;7,46E-141
Image980;0;402.409.362.792.969;26.275.344.558.377;162.096.713.595.239;0.090069710709999;471.358.878.849.311;234.309.397.626.753;564.400.068.271.036;0.265051664102036;0.070252384643258;0.506033457016593;346.168.288.103.772;0.977583340990139;7,46E-141
Image981;0;643.824.768.066.406;438.313.207.019.951;20.935.931.004.375;0.240668568330923;367.526.661.263.555;139.445.034.605.275;572.358.878.504.673;0.448945732734697;0.201552270940694;0.678598064518989;261.046.728.971.963;0.982063808330456;7,46E-141
Image982;0;896.675.109.863.281;540.381.187.611.603;232.461.004.818.357;0.148532115660912;315.530.242.578.893;104.806.360.983.209;867.975.382.003.396;0.345808163426165;0.119583285892177;0.625326849511924;317.798.528.579.513;0.969895237453605;7,46E-141
Image983;0;841.688.537.597.656;55.719.460.167.846;236.049.698.512.508;0.251009345506891;333.074.926.335.716;119.146.558.202.864;745.189.312.567.132;0.459730067823112;0.211351735260643;0.635823034529669;332.277.121.374.866;0.977169936216917;7,46E-141
Image984;0;171.023.559.570.313;862.840.844.155.877;293.741.526.542.618;0.132095830242101;21.407.005.119.458;508.116.384.399.062;697.064.459.198.252;0.324918847610225;0.105572257532357;0.554779368569544;385.242.457.349.357;0.976361620632287;7,46E-141
Image985;0;479.812.622.070.313;334.329.557.022.164;182.846.809.384.841;0.137800363886359;455.008.115.154.984;224.103.025.385.862;107.965.363.421.674;0.332370784651272;0.110470338489703;0.580556828193563;388.113.356.074.521;0.96506622037393;7,46E-141
Image986;0;730.268.859.863.281;444.752.670.644.219;210.891.600.269.954;0.209903185066792;349.469.872.786.317;130.205.717.739.605;838.978.883.023.062;0.416974864697699;0.173868037789664;0.655679373203523;302.750.764.101.139;0.968955735184744;7,46E-141
Image987;0;160.885.620.117.188;105.807.637.547.636;102.862.839.523.141;0.183392231152864;661.781.139.563.163;441.389.191.988.961;269.529.056.603.774;0.386365249585901;0.149278106087576;0.692324849651984;517.584.905.660.377;0.883722414843409;7,46E-141
Image988;0;684.490.966.796.875;470.862.959.338.957;21.699.376.934.349;0.278883914274733;364.622.028.915.729;139.187.969.161.465;68.076.837.944.664;0.486955334683631;0.237125497976847;0.671858826160515;282.387.351.778.656;0.978989776226435;7,46E-141
Image989;0;166.632.995.605.469;779.622.241.414.356;279.217.163.049.544;0.058877116872127;213.819.123.952.206;495.069.523.249.098;965.634.099.441.443;0.211188511886638;0.044600587552893;0.550566094299972;391.731.526.416.995;0.9606178935631;7,46E-141
Image990;0;120.218.658.447.266;601.292.049.658.938;245.212.570.978.516;0.082817699526436;249.911.971.461.172;652.332.295.823.481;9.305.412.234.824;0.252843558879669;0.063929865266937;0.562175422677328;396.109.772.580.361;0.959171910341402;7,46E-141
Image991;0;803.105.163.574.219;430.162.839.564.725;207.403.673.922.311;0.090445563639299;307.227.598.503.733;97.333.218.459.995;104.821.279.331.405;0.26488675256807;0.070164991686058;0.553995535185313;452.989.392.478.303;0.951950730046053;7,46E-141
Image992;0;427.655.029.296.875;244.066.380.471.551;156.226.239.944.368;0.114452036229264;423.276.216.784.252;185.782.086.293.232;152.019.437.877.594;0.30076261494733;0.090458150549956;0.524150844321793;557.788.284.738.639;0.927063149318511;7,46E-141
Image993;0;0.091217041015625;334.220.688.485.448;182.817.036.538.023;0.247357352098799;220.699.467.052.106;518.472.663.648.714;161.861.538.461.538;0.455631718589562;0.207600262984878;0.590353037707498;54.974.358.974.359;0.754354404860752;7,46E-141
Image994;0;610.252.380.371.094;466.884.224.791.594;216.075.039.000.713;0.090479600323245;396.347.090.251.177;161.399.110.412.317;115.307.931.801.334;0.26548126067397;0.070480299769041;0.555310547759045;355.374.351.371.386;0.966218626161844;7,46E-141
Image995;0;744.573.974.609.375;523.775.712.954.082;228.861.467.476.306;0.199081321593296;344.185.440.798.475;121.665.094.494.951;768.950.875.856.816;0.404878275238882;0.163926417760412;0.680823805893048;245.163.747.143.945;0.97797526755131;7,46E-141
Image996;1;157.845.764.160.156;155.789.225.669.478;394.701.438.646.324;0.002579240841984;351.831.460.128.668;14.061.843.572.574;960.394.683.441.558;0.042402399976514;0.001797963523768;0.35195588457905;523.650.568.181.818;0.980724953837288;7,46E-141
Image997;0;115.492.553.710.938;524.052.816.010.071;228.921.998.945.071;0.068372886191541;237.309.162.222.604;581.610.818.528.944;660.487.837.210.844;0.227570462939061;0.051788315602299;0.62514723245251;248.810.233.976.271;0.957862358500955;7,46E-141
Image998;0;667.665.100.097.656;32.372.124.760.941;179.922.552.118.796;0.088593557136558;303.990.534.649.802;941.701.297.881.457;628.682.326.847.464;0.261276191293595;0.068265248136887;0.630434027223699;240.346.809.154.149;0.957340619188466;7,46E-141
Image999;0;721.138.000.488.281;628.587.676.824.952;250.716.508.595.854;0.113853025684604;375.861.039.337.872;142.705.300.869.569;191.92;0.299170096332826;0.089502746539793;0.640332601068784;334.794.117.647.059;0.955933589727247;7,46E-141
Image1000;0;692.294.311.523.438;443.854.289.094.379;210.678.496.552.064;0.218567198997243;355.618.063.846.857;13.290.976.659.157;793.705.342.510.652;0.426230452923758;0.181672398999592;0.64680877911931;310.455.588.331.695;0.972963025339118;7,46E-141
Image1001;0;103.686.676.025.391;620.097.229.790.064;249.017.515.406.058;0.142966591204948;293.119.447.738.276;903.344.061.234.074;732.673.230.769.231;0.338904694497822;0.114856391952662;0.594536788837683;335.064.615.384.615;0.975755436863695;7,46E-141
Image1002;0;135.145.263.671.875;738.018.857.685.278;27.166.502.492.689;0.11572440527766;246.605.423.614.346;646.799.955.969.985;804.868.421.052.632;0.302644241070086;0.091593536652888;0.547731187348122;379.279.080.053.074;0.971576031868022;7,46E-141
Image1003;0;173.930.511.474.609;882.666.554.431.676;297.097.047.180.156;0.113022302388478;218.876.524.289.136;531.959.171.628.028;100.702.721.999.108;0.2989147743806;0.089350042343005;0.544072391538267;42.223.114.680.946;0.965482181080652;7,46E-141
Image1004;0;607.833.862.304.688;358.425.327.167.264;189.321.242.117.007;0.261107199113696;354.591.445.202.038;131.291.270.075.336;57.262.996.941.896;0.469523672767425;0.220452479289012;0.684816997326754;23.120.875.583.454;0.976437238249866;7,46E-141
Image1005;1;123.668.975.830.078;148.341.329.122.115;385.151.047.151.783;0.009411604742507;377.451.394.380.964;15.118.386.638.699;266.046.210.200.056;0.082195902559437;0.006756166397561;0.360153562269225;68.748.943.364.328;0.960800909009145;7,46E-141
Image1006;1;1.298.583.984.375;161.055.409.721.268;401.317.093.731.712;0.002042918285694;369.171.711.257.843;143.903.346.782.946;724.762.128.325.509;0.037741307452047;0.00142440628819;0.340377326620796;491.690.140.845.071;0.98393851904592;7,46E-141
Image1007;1;409.963.989.257.813;469.785.833.255.182;216.745.434.382.176;0.040771863796366;591.115.220.633.612;372.731.160.051.773;224.681.113.460.183;0.174850867751983;0.030572825953622;0.383358203094685;621.740.662.438.337;0.959429617298388;7,46E-141
Image1008;0;577.220.153.808.594;485.178.037.496.807;22.026.757.307.802;0.101322087681867;411.639.824.065.291;171.705.559.022.183;138.972.916.302.638;0.281492356662359;0.079237946859329;0.568266086330173;399.615.586.230.998;0.963737742975649;7,46E-141
Image1009;0;20.939.208.984.375;112.370.598.212.872;33.521.724.032.763;0.061107340164986;210.981.988.154.204;48.223.222.588.901;162.669.788.797.062;0.215791090279451;0.046565794643994;0.495337553276092;516.170.798.898.072;0.949427676765126;7,46E-141
Image1010;0;209.464.569.091.797;122.425.226.879.641;349.893.164.951.304;0.065359862914423;210.547.613.404.784;473.015.921.501.591;15.890.823.941.125;0.223481510392978;0.049943985487527;0.494894226921596;508.249.704.081.108;0.952005323398813;7,46E-141
Image1011;0;170.941.467.285.156;111.756.201.519.846;33.429.956.853.075;0.078212960183849;237.397.353.465.283;589.352.833.355.695;161.029.699.317.469;0.245725141208578;0.060380845021976;0.502907877615207;504.753.120.580.459;0.955729065162576;7,46E-141
Image1012;0;119.981.536.865.234;868.898.236.145.424;294.770.798.442.693;0.093409024006006;288.401.219.011.964;862.851.210.382.325;223.718.940.266.579;0.270146192106873;0.072978965109844;0.489680292344505;651.999.341.780.484;0.941336289957592;7,46E-141
Image1013;0;460.585.021.972.656;357.568.673.363.378;189.094.863.326.156;0.114696191630114;469.223.880.794.517;229.495.230.322.423;23.177.472.899.729;0.301402530857178;0.090843485607112;0.495826190425538;680.724.932.249.323;0.935784838110548;7,46E-141
Image1014;0;171.023.559.570.313;862.840.844.155.877;293.741.526.542.618;0.132095830242101;21.407.005.119.458;508.116.384.399.062;697.064.459.198.252;0.324918847610225;0.105572257532357;0.554779368569544;385.242.457.349.357;0.976361620632287;7,46E-141
Image1015;0;166.632.995.605.469;779.622.241.414.356;279.217.163.049.544;0.058877116872127;213.819.123.952.206;495.069.523.249.098;965.634.099.441.443;0.211188511886638;0.044600587552893;0.550566094299972;391.731.526.416.995;0.9606178935631;7,46E-141
Image1016;0;120.218.658.447.266;601.292.049.658.938;245.212.570.978.516;0.082817699526436;249.911.971.461.172;652.332.295.823.481;9.305.412.234.824;0.252843558879669;0.063929865266937;0.562175422677328;396.109.772.580.361;0.959171910341402;7,46E-141
Image1017;0;803.105.163.574.219;430.162.839.564.725;207.403.673.922.311;0.090445563639299;307.227.598.503.733;97.333.218.459.995;104.821.279.331.405;0.26488675256807;0.070164991686058;0.553995535185313;452.989.392.478.303;0.951950730046053;7,46E-141
Image1018;1;157.845.764.160.156;155.789.225.669.478;394.701.438.646.324;0.002579240841984;351.831.460.128.668;14.061.843.572.574;960.394.683.441.558;0.042402399976514;0.001797963523768;0.35195588457905;523.650.568.181.818;0.980724953837288;7,46E-141
Image1019;0;103.686.676.025.391;620.097.229.790.064;249.017.515.406.058;0.142966591204948;293.119.447.738.276;903.344.061.234.074;732.673.230.769.231;0.338904694497822;0.114856391952662;0.594536788837683;335.064.615.384.615;0.975755436863695;7,46E-141
Image1020;0;135.145.263.671.875;738.018.857.685.278;27.166.502.492.689;0.11572440527766;246.605.423.614.346;646.799.955.969.985;804.868.421.052.632;0.302644241070086;0.091593536652888;0.547731187348122;379.279.080.053.074;0.971576031868022;7,46E-141
Image1021;0;173.930.511.474.609;882.666.554.431.676;297.097.047.180.156;0.113022302388478;218.876.524.289.136;531.959.171.628.028;100.702.721.999.108;0.2989147743806;0.089350042343005;0.544072391538267;42.223.114.680.946;0.965482181080652;7,46E-141
Image1022;1;123.668.975.830.078;148.341.329.122.115;385.151.047.151.783;0.009411604742507;377.451.394.380.964;15.118.386.638.699;266.046.210.200.056;0.082195902559437;0.006756166397561;0.360153562269225;68.748.943.364.328;0.960800909009145;7,46E-141
Image1023;1;1.298.583.984.375;161.055.409.721.268;401.317.093.731.712;0.002042918285694;369.171.711.257.843;143.903.346.782.946;724.762.128.325.509;0.037741307452047;0.00142440628819;0.340377326620796;491.690.140.845.071;0.98393851904592;7,46E-141
Image1024;0;20.939.208.984.375;112.370.598.212.872;33.521.724.032.763;0.061107340164986;210.981.988.154.204;48.223.222.588.901;162.669.788.797.062;0.215791090279451;0.046565794643994;0.495337553276092;516.170.798.898.072;0.949427676765126;7,46E-141
Image1025;0;209.464.569.091.797;122.425.226.879.641;349.893.164.951.304;0.065359862914423;210.547.613.404.784;473.015.921.501.591;15.890.823.941.125;0.223481510392978;0.049943985487527;0.494894226921596;508.249.704.081.108;0.952005323398813;7,46E-141
Image1026;0;170.941.467.285.156;111.756.201.519.846;33.429.956.853.075;0.078212960183849;237.397.353.465.283;589.352.833.355.695;161.029.699.317.469;0.245725141208578;0.060380845021976;0.502907877615207;504.753.120.580.459;0.955729065162576;7,46E-141
Image1027;1;765.617.370.605.469;120.258.218.516.773;346.782.667.555.304;0.001297526858175;496.834.862.105.258;254.388.154.431.559;895.728.758.169.934;0.030007581595709;0.000900454953223;0.256807905251991;613.039.215.686.275;0.97575967124027;7,46E-141
Image1028;0;278.881.530.761.719;205.129.584.092.551;452.912.335.990.698;0.063052018548102;210.313.545.052.216;478.041.771.586.933;148.787.909.458.962;0.219518025701511;0.048188163607889;0.477365422090069;572.396.025.027.604;0.975376710944648;7,46E-141
Image1029;0;190.043.487.548.828;159.002.522.533.767;398.751.203.802.279;0.089189142582744;258.570.212.407.585;702.405.301.529.491;127.741.523.637.459;0.263559671469455;0.069463700425087;0.497437206976869;551.279.735.019.572;0.97963544731691;7,46E-141
Image1030;0;133.181.762.695.313;124.471.166.966.395;352.804.715.056.921;0.117532750517003;311.779.876.270.328;10.097.374.635.154;150.160.973.251.692;0.305285153219184;0.093199024776061;0.504796644546311;606.783.757.653.883;0.977393575030881;7,46E-141
Image1031;1;595.884.704.589.844;956.952.444.759.201;309.346.479.656.582;0.001246356362749;562.228.117.411.826;326.550.166.330.002;932.846.153.846.154;0.029409659032624;0.000864928044415;0.233704729402611;631.367.521.367.521;0.970565239196035;7,46E-141
Image1032;0;174.469.757.080.078;151.292.305.112.224;388.963.115.362.143;0.102761760009846;269.746.964.101.718;761.139.217.926.496;141.255.850.032.321;0.284191568370995;0.080764847533166;0.499018407545539;584.899.806.076.277;0.978055513122954;7,46E-141
Image1033;0;10.958.740.234.375;106.705.514.123.832;326.658.099.737.068;0.107921895206458;347.581.213.827.972;125.166.539.059.383;159.179.220.779.221;0.291742910547397;0.085113925854667;0.479851012494081;655.969.215.969.216;0.976219551262273;7,46E-141
Image1034;0;888.966.369.628.906;702.272.112.308.304;2.650.041.721.008;0.207648507388225;343.494.260.159.905;123.741.412.748.912;110.523.872.679.045;0.4146468601731;0.17193201865141;0.603766232257195;426.342.838.196.286;0.975567071457667;7,46E-141
Image1035;0;139.200.897.216.797;992.742.875.581.577;315.078.224.506.483;0.11512027847354;272.799.351.249.317;782.082.975.079.073;101.304.230.769.231;0.301976453581108;0.091189778517423;0.525248502341447;455.512.820.512.821;0.976803200947317;7,46E-141
Image1036;0;166.668.243.408.203;10.850.671.299.482;32.940.357.161.819;0.141629789730409;237.682.826.393.537;604.427.383.797.484;954.094.890.510.949;0.337271495765994;0.113752061856231;0.568130219695269;400.761.209.593.326;0.977096923606411;7,46E-141
Image1037;0;20.602.294.921.875;11.741.258.076.075;342.655.192.227.916;0.086977135962788;208.453.540.427.778;472.042.039.199.053;959.700.189.753.321;0.260051543481297;0.067626805267005;0.520162813950099;402.846.299.810.247;0.972725919768377;7,46E-141
Image1038;0;216.048.126.220.703;11.718.014.933.483;342.315.861.938.693;0.066469091443101;20.175.527.370.668;44.110.455.891.415;983.910.635.501.736;0.225529199682887;0.050863419909604;0.521601199161714;395.775.837.792.171;0.969046915991671;7,46E-141
Image1039;1;461.485.290.527.344;649.140.394.268.556;254.782.337.352.603;0.002108011021564;590.347.548.116.834;357.250.043.334.908;838.410.628.019.324;0.038268066468007;0.0014644449112;0.283412185906059;571.642.512.077.295;0.955905349580737;7,46E-141
Image1040;1;937.142.944.335.938;118.337.785.956.123;344.002.595.856.664;0.002836767748367;413.446.366.520.389;176.698.002.820.962;537.599.457.504.521;0.044395099577562;0.001970924866502;0.387214059728484;407.368.896.925.859;0.975146117233337;7,46E-141
Image1041;0;102.392.425.537.109;803.309.012.659.174;283.427.065.161.246;0.171267193063159;321.091.910.379.185;107.601.155.292.768;118.580.974.842.767;0.37364143583823;0.139607922575254;0.564483667018118;456.729.559.748.428;0.974557557061211;7,46E-141
Image1042;0;149.214.782.714.844;102.754.488.045.073;320.553.409.036.736;0.107120687562302;25.952.331.730.187;70.845.366.109.024;926.379.171.068.166;0.290569465470714;0.084430614263937;0.526219979212001;437.432.424.035.295;0.97774392380527;7,46E-141
Image1043;0;184.093.322.753.906;113.422.335.565.847;336.782.326.682.751;0.107142694757362;224.647.515.608.137;541.455.684.980.977;100.036.345.330.984;0.290543952262477;0.0844157881963;0.533092352110689;42.816.008.054.367;0.974324097458398;7,46E-141
Image1044;0;211.160.583.496.094;118.432.038.126.156;344.139.561.989.254;0.074500745253405;207.248.847.077.984;466.782.349.058.113;104.745.445.920.304;0.239652439036188;0.057433291535994;0.508382199703703;426.375.711.574.953;0.969112096361311;7,46E-141
Image1045;1;971.432.495.117.188;118.570.818.619.675;34.434.113.698.435;0.002656399609153;400.878.317.071.437;166.159.468.950.933;617.083.333.333.333;0.042961115915201;0.001845657480679;0.366729191808416;447.959.183.673.469;0.969758795969122;7,46E-141
Image1046;1;2.419.189.453.125;364.660.034.071.266;190.960.737.868.093;0.002461613215756;846.065.233.533.593;74.539.047.367.759;574.715.370.018.975;0.041366659120667;0.001711200486805;0.268365019356706;52.741.935.483.871;0.979015854326873;7,46E-141
Image1047;1;530.888.366.699.219;759.373.377.568.739;275.567.301.683.044;0.002133421012631;560.599.233.975.546;325.576.472.796.514;134.476.293.103.448;0.038487783165988;0.001481309453032;0.347649671064462;475.646.551.724.138;0.931970186291573;7,46E-141
Image1048;1;145.453.033.447.266;114.167.336.874.718;337.886.573.978.189;0.01234280984408;302.283.088.490.982;102.288.690.403.833;109.042.697.902.891;0.093955981213886;0.008827726405864;0.474409541923358;35.480.823.729.454;0.961697828215562;7,46E-141
Image1049;0;546.212.768.554.688;324.611.839.879.566;180.169.875.361.994;0.087178131834829;361.877.068.317.843;133.000.225.694.797;144.818.526.315.789;0.259405974345249;0.067291459526008;0.595067673064141;382.877.192.982.456;0.926132596525963;7,46E-141
Image1050;0;184.913.330.078.125;11.440.967.758.891;338.244.996.398.927;0.103420356238589;225.012.606.775.104;542.736.000.780.398;114.424.280.350.438;0.285101938797546;0.08128311550612;0.547373830903945;359.960.367.125.574;0.970030980889481;7,46E-141
Image1051;1;124.326.934.814.453;114.138.454.324.454;337.843.831.265.947;0.002232604304514;356.527.843.157.544;143.007.250.987.653;118.864.075.296.419;0.039382451217943;0.001550977463934;0.365061810596877;506.820.682.068.207;0.963600542695118;7,46E-141
Image1052;1;988.703.918.457.031;884.688.769.464.575;297.437.181.513.101;0.009460485758647;36.428.277.433.482;145.130.538.952.817;13.265.034.965.035;0.081966295829023;0.006718473651931;0.467033171829804;381.643.356.643.357;0.952088280579943;7,46E-141
Image1053;0;359.298.706.054.687;216.033.530.977.397;146.980.791.594.479;0.110737512194698;439.213.448.665.564;195.831.481.020.439;155.396.604.938.272;0.294862646078786;0.086943980052584;0.601804451849153;408.989.197.530.864;0.920811736539814;7,46E-141
Image1054;0;135.400.543.212.891;79.551.637.129.562;282.048.997.746.069;0.095553750543041;273.068.045.372.831;823.539.739.560.315;106.669.065.487.817;0.27352533685585;0.074816109902106;0.51392998410074;458.188.547.342.449;0.967674588395651;7,46E-141
Image1055;1;163.662.719.726.563;201.477.111.417.779;141.942.633.277.595;0.00248991086746;917.630.546.050.701;869.636.920.481.222;133.712.962.962.963;0.04159426580108;0.001730082947531;0.223085618450402;726.157.407.407.407;0.922781535800446;7,46E-141
Image1056;1;338.356.018.066.406;420.045.997.126.664;204.950.237.161.772;0.002078383576292;647.163.262.769.854;431.064.617.698.937;624.021.739.130.435;0.037984288360541;0.001442806162257;0.332716565932107;492.963.386.727.689;0.965047309649317;7,46E-141
Image1057;0;115.506.439.208.984;733.714.320.635.761;270.871.615.463.075;0.157547415864077;293.978.028.100.866;947.679.874.282.041;100.165.592.199.904;0.357205217217552;0.127595567207438;0.573663082452619;410.410.783.739.144;0.971093958376006;7,46E-141
Image1058;0;155.038.909.912.109;891.821.428.869.281;298.633.793.946.579;0.130926546251317;245.731.637.727.561;663.680.595.154.906;767.279.372.437.155;0.323440921102173;0.104614029443422;0.552813598766128;389.579.247.637.725;0.977647171262776;7,46E-141
Image1059;1;898.005.676.269.531;631.317.547.806.388;251.260.332.684.327;0.021766601858487;34.722.968.666.901;132.403.767.825.086;148.751.889.466.226;0.126102822986379;0.015901921965134;0.463289057447436;425.921.114.785.073;0.940610843490468;7,46E-141
Image1060;0;120.678.253.173.828;49.341.330.916.421;222.129.086.155.823;0.062216493455752;230.169.904.977.549;555.511.763.296.114;685.920.689.655.172;0.217064149563586;0.047116845025763;0.561552369609352;308.137.931.034.483;0.95381916624626;7,46E-141
Image1061;0;884.553.527.832.031;384.689.194.633.985;196.134.952.171.709;0.070257552469034;265.938.020.203.632;731.267.178.396.278;749.958.974.358.974;0.231542115241337;0.053611751130433;0.55825535862297;329.465.201.465.201;0.947605196586767;7,46E-141
Image1062;0;482.957.458.496.094;214.895.400.464.553;14.659.311.050.133;0.080737835476066;357.198.900.203.209;13.388.432.444.441;831.438.914.027.149;0.250030735605782;0.062515368747569;0.495146179943957;397.058.823.529.412;0.934369911038166;7,46E-141
Image1063;1;456.083.679.199.219;438.533.974.667.145;209.412.027.989.594;0.05085364312163;507.922.980.051.701;271.597.718.463.559;194.546.162.104.133;0.196060582760973;0.038439752112572;0.487956371806932;449.248.523.886.205;0.952455092935433;7,46E-141
Image1064;1;379.110.717.773.437;38.121.896.355.322;195.248.294.116.292;0.041403083434828;56.219.721.893.996;330.142.098.363.031;166.598.299.319.728;0.17618784963766;0.031042158359943;0.454760891192471;43.969.387.755.102;0.959577082625729;7,46E-141
Image1065;0;110.430.145.263.672;457.097.679.228.501;213.798.428.251.589;0.063832702635328;238.673.576.614.227;593.847.588.269.717;658.113.300.492.611;0.220046719855508;0.048420558919168;0.561878294769647;307.635.467.980.296;0.954292183662213;7,46E-141
Image1066;0;776.170.349.121.094;341.895.636.251.779;184.904.201.210.189;0.073606329498935;284.415.821.265.032;838.894.530.167.606;802.164.516.129.033;0.237516210630295;0.056413950312175;0.542879421850498;352.370.967.741.935;0.942713457794679;7,46E-141
Image1067;0;3.248.046.875;154.935.191.457.975;124.472.965.521.825;0.079548886205752;454.412.443.465.095;216.617.250.417.121;784.201.201.201.201;0.248024029223431;0.061515919072226;0.498118403547032;431.921.921.921.922;0.943984909490246;7,46E-141
